family,size,instance_index,method,projection_regime,projection_topology_family,instance_source,problem_seed,instance_manifest,comparison_family,comparison_mode,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_num_reads,sqa_fea,sqa_gap,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_schedule_total_time,sqa_anneal_schedule,qubo_normalization_scale,normalization_regime,per_constraint_standardization,projected_sample_size,projected_num_quadratic_couplers,projection_method,projection_summary_method,projection_measure,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projection_target,projection_target_lambda1_shape,projection_target_lambda2_shape,projected_equality_multiplier,projected_inequality_multiplier,projected_initializer_equality_multiplier,projected_initializer_inequality_multiplier,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_global_multiplier,up_lambda0,up_lambda1,up_lambda2
mdkp,15,11,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,12261534769798681509,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-179722.0,cplex_cache,min,1e-09,105,0.0,1000,0.287,0.029579016481009558,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",22975.397736612023,per_constraint_standardized_rows_v1,True,16384,48,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,15,11,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,12261534769798681509,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-179722.0,cplex_cache,min,1e-09,105,0.0,1000,0.334,0.047745963209846316,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",19125.10985152521,per_constraint_standardized_rows_v1,True,16384,25,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
mdkp,15,11,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,12261534769798681509,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-179722.0,cplex_cache,min,1e-09,105,0.0,1000,0.302,0.018328307052002536,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",23020.27313818888,per_constraint_standardized_rows_v1,True,16384,52,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,15,12,unbalanced,unbalanced,,seed_manifest,14797751181759287008,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-184238.0,cplex_cache,min,1e-09,105,0.0,1000,0.109,0.09825877397713827,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",32691.557546549266,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,15,12,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,14797751181759287008,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-184238.0,cplex_cache,min,1e-09,105,0.0,1000,0.115,0.07950585655510807,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",24879.794925399376,per_constraint_standardized_rows_v1,True,16384,52,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,15,12,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,14797751181759287008,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-184238.0,cplex_cache,min,1e-09,105,0.0,1000,0.126,0.0034357732932402654,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",27324.076085495028,per_constraint_standardized_rows_v1,True,16384,29,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
mdkp,15,12,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,14797751181759287008,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-184238.0,cplex_cache,min,1e-09,105,0.0,1000,0.131,0.05217707530476883,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",24322.65628586537,per_constraint_standardized_rows_v1,True,16384,48,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,15,13,unbalanced,unbalanced,,seed_manifest,17017794023839422885,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-213749.0,cplex_cache,min,1e-09,105,32.768,1000,0.219,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",37210.79148517675,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,15,13,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,17017794023839422885,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-213749.0,cplex_cache,min,1e-09,105,0.0,1000,0.256,0.0035368586519703015,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",26920.953986357265,per_constraint_standardized_rows_v1,True,16384,52,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,15,13,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,17017794023839422885,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-213749.0,cplex_cache,min,1e-09,105,65.536,1000,0.285,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",21838.570422828645,per_constraint_standardized_rows_v1,True,16384,29,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
