family,size,method,n,inst,sqa_cop_median,sqa_cop_q25,sqa_cop_q75,sqa_cop_mean,sqa_cop_ci95_low,sqa_cop_ci95_high,sqa_fea_median,sqa_fea_q25,sqa_fea_q75,sqa_fea_mean,sqa_fea_ci95_low,sqa_fea_ci95_high,sqa_gap_median,sqa_gap_q25,sqa_gap_q75,sqa_gap_mean,sqa_gap_ci95_low,sqa_gap_ci95_high,sqa_cop_nonzero_rate,sqa_gap_zero_rate
mis,8,projected_zephyr_unb_pen,8,20,11.648,9.344,16.128,12.659200000000002,10.8672,14.515199999999998,0.309,0.22575,0.37324999999999997,0.2989,0.26694874999999996,0.33090125000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mis,8,unbalanced,8,20,12.672,9.408,16.64,13.0816,11.2256,14.886719999999995,0.3115,0.24925,0.34625,0.3003,0.26975000000000005,0.32980000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mis,12,projected_chimera_unb_pen,12,20,24.576,12.288,34.816,29.286400000000004,20.684800000000003,38.912,0.161,0.13775,0.2125,0.17955000000000002,0.15619875,0.20600125,0.0,0.0,0.0,0.00625,0.0,0.01875,1.0,1.0
mis,12,projected_pegasus_unb_pen,12,20,26.624000000000002,12.288,53.248,31.334400000000006,21.708800000000004,41.164800000000014,0.161,0.14275,0.20225,0.18030000000000002,0.15435000000000001,0.20910124999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mis,12,projected_zephyr_unb_pen,12,20,26.624000000000002,19.456,37.888,32.76800000000001,24.166400000000003,42.5984,0.164,0.1415,0.19775,0.1785,0.15409874999999995,0.20579999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mis,12,unbalanced,12,20,32.768,16.384,58.368,39.321600000000004,28.66688,50.59071999999994,0.1555,0.14024999999999999,0.179,0.16729999999999998,0.14504999999999998,0.19165000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mis,16,projected_chimera_unb_pen,16,20,65.536,0.0,196.608,134.3488,81.91999999999999,196.60799999999998,0.1275,0.10625,0.1555,0.13280000000000003,0.11809750000000001,0.14750000000000002,0.0,0.0,0.1111111111111111,0.03561507936507936,0.011805555555555555,0.060119047619047614,0.7,0.7
mis,16,projected_pegasus_unb_pen,16,20,65.536,0.0,196.608,121.24160000000002,65.53600000000002,180.224,0.131,0.11599999999999999,0.1525,0.13555,0.12390000000000004,0.14825000000000002,0.0,0.0,0.11458333333333333,0.049702380952380956,0.023809523809523808,0.07738095238095238,0.6,0.6
mis,16,projected_zephyr_unb_pen,16,20,229.376,114.688,344.064,235.92960000000008,173.6704,304.7424000000001,0.14,0.11775,0.15425,0.1396,0.12815,0.15135,0.0,0.0,0.0,0.00625,0.0,0.01875,1.0,1.0
mis,16,unbalanced,16,20,360.448,114.688,458.752,337.51040000000006,226.01728,471.85920000000004,0.1255,0.1105,0.1325,0.12969999999999998,0.11685000000000001,0.1454,0.0,0.0,0.0,0.010555555555555556,0.0,0.026666666666666665,1.0,1.0
mis,20,projected_chimera_unb_pen,20,20,0.0,0.0,0.0,157.28640000000001,0.0,314.57280000000003,0.0745,0.06575,0.10475,0.0858,0.0735,0.09945124999999999,0.1,0.09090909090909091,0.125,0.109229797979798,0.08258680555555557,0.13732575757575757,0.15,0.15
mis,20,projected_pegasus_unb_pen,20,20,0.0,0.0,262.144,471.85920000000004,104.8576,1048.576,0.10200000000000001,0.0825,0.12825,0.10745,0.09469999999999999,0.12050124999999999,0.1,0.0625,0.1111111111111111,0.08006313131313132,0.05825505050505051,0.10048074494949495,0.25,0.25
mis,20,projected_zephyr_unb_pen,20,20,0.0,0.0,1048.576,576.7167999999999,157.28640000000001,1101.0048000000002,0.1005,0.08,0.1155,0.10625,0.09035000000000001,0.12475124999999998,0.1,0.0,0.125,0.09051767676767677,0.05985921717171717,0.12343529040404037,0.3,0.3
mis,20,unbalanced,20,20,1048.576,0.0,3407.8720000000003,1887.4368000000002,1101.0048000000002,2778.7264000000005,0.1275,0.10225,0.159,0.13635000000000003,0.11725000000000003,0.156,0.0,0.0,0.08522727272727272,0.033989898989898994,0.014267676767676768,0.05527777777777777,0.65,0.65
