session_id,device_name,device_slug,hardware_family,hardware_size,family,size,instance_name,instance_index,method,requested_method,resolved_method,num_runs,num_variables,true_optimum_objective,known_optimum_objective,known_optimum_source,sqa_gap,objective_gap,mean_sqa_energy_gap,optimum_probability,sqa_optimum_rate,sqa_fea,feasible_read_fraction,best_feasible_objective,num_feasible_reads,mean_chain_break_fraction,broken_read_rate,physical_qubits,mean_chain_length,max_chain_length,effective_chain_strength,embedded_chain_to_problem_ratio,wall_clock_duration_seconds
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,27,pb1,,projected_full,projected_full,projected_full,1,27,-3090.0,-3090.0,cplex_cache,0.06763754045307444,0.06763754045307444,0.22652402836534072,0.0,0.0,0.1276,0.1276,-2881.0,319.0,0.7070518518518519,1.0,101.0,3.740740740740741,5.0,,,10.623142667114735
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,27,pb1,,projected_topology,projected_topology,projected_pegasus,1,27,-3090.0,-3090.0,cplex_cache,0.05631067961165048,0.05631067961165048,0.19181890941991162,0.0,0.0,0.0372,0.0372,-2916.0,93.0,0.0,0.0,27.0,1.0,1.0,,,4.500722490251064
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,27,pb1,,unbalanced,unbalanced,unbalanced,1,27,-3090.0,-3090.0,cplex_cache,0.07508090614886731,0.07508090614886731,0.19766271125494428,0.0,0.0,0.0144,0.0144,-2858.0,36.0,0.8174074074074074,1.0,102.0,3.7777777777777777,5.0,,,3.1396642923355103
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,hp1,,projected_full,projected_full,projected_full,1,28,-3418.0,-3418.0,cplex_cache,0.03861907548273844,0.03861907548273844,0.23246333452877554,0.0,0.0,0.248,0.248,-3286.0,620.0,0.7204,1.0,107.0,3.8214285714285716,5.0,,,11.508927188813686
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,hp1,,projected_topology,projected_topology,projected_pegasus,1,28,-3418.0,-3418.0,cplex_cache,0.053832650672908135,0.053832650672908135,0.1935004726110636,0.0,0.0,0.0468,0.0468,-3234.0,117.0,0.0,0.0,28.0,1.0,1.0,,,4.921523489058018
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,hp1,,unbalanced,unbalanced,unbalanced,1,28,-3418.0,-3418.0,cplex_cache,0.058806319485078994,0.058806319485078994,0.2424262443609732,0.0,0.0,0.0372,0.0372,-3217.0,93.0,0.8653428571428572,1.0,121.0,4.321428571428571,6.0,,,2.7513425201177597
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,pet5,,projected_full,projected_full,projected_full,1,28,-12400.0,-12400.0,cplex_cache,0.07580645161290323,0.07580645161290323,0.34486928032959324,0.0,0.0,0.5888,0.5888,-11460.0,1472.0,0.6346285714285714,1.0,108.0,3.857142857142857,5.0,,,28.629595801234245
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,pet5,,projected_topology,projected_topology,projected_pegasus,1,28,-12400.0,-12400.0,cplex_cache,0.020967741935483872,0.020967741935483872,0.22688526978860768,0.0,0.0,0.5756,0.5756,-12140.0,1439.0,0.0,0.0,28.0,1.0,1.0,,,10.287527076900005
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,28,pet5,,unbalanced,unbalanced,unbalanced,1,28,-12400.0,-12400.0,cplex_cache,0.01935483870967742,0.01935483870967742,0.2409306027164686,0.0,0.0,0.608,0.608,-12160.0,1520.0,0.7393428571428572,1.0,103.0,3.6785714285714284,5.0,,,3.11989738792181
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,29,pb4,,projected_full,projected_full,projected_full,1,29,-95168.0,-95168.0,cplex_cache,,,,0.0,0.0,0.0,0.0,,0.0,0.7878896551724137,1.0,112.0,3.8620689655172415,5.0,,,7.452778324484825
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,29,pb4,,projected_topology,projected_topology,projected_pegasus,1,29,-95168.0,-95168.0,cplex_cache,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,29.0,1.0,1.0,,,3.6158852130174637
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,29,pb4,,unbalanced,unbalanced,unbalanced,1,29,-95168.0,-95168.0,cplex_cache,,,,0.0,0.0,0.0,0.0,,0.0,0.7539724137931034,1.0,101.0,3.4827586206896552,5.0,,,2.4674176275730133
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,34,pb2,,projected_full,projected_full,projected_full,1,34,-3186.0,-3186.0,cplex_cache,0.10703075957313246,0.10703075957313246,0.24889916937325435,0.0,0.0,0.0552,0.0552,-2845.0,138.0,0.7840470588235293,1.0,152.0,4.470588235294118,6.0,,,19.697351336479187
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,34,pb2,,projected_topology,projected_topology,projected_pegasus,1,34,-3186.0,-3186.0,cplex_cache,0.15285624607658507,0.15285624607658507,0.15285624607658507,0.0,0.0,0.0004,0.0004,-2699.0,1.0,0.0,0.0,34.0,1.0,1.0,,,5.815756820142269
20260426T091720605886Z,Advantage_system4.1;graph_id=01d07086e1,Advantage_system4.1_graph_id_01d07086e1,pegasus,16,mdkp,34,pb2,,unbalanced,unbalanced,unbalanced,1,34,-3186.0,-3186.0,cplex_cache,,,,0.0,0.0,0.0,0.0,,0.0,0.8669176470588235,1.0,154.0,4.529411764705882,6.0,,,7.608893066644669
