family,size,method,n,stat,inst,sqa_cop,sqa_fea,sqa_gap
mis,12,projected_up_support,12,std,20,35.137377896479414,0.05873182697652101,0.0
mis,12,projected_zephyr,12,mean,20,53.248000000000005,0.18750000000000003,0.0
mis,12,projected_zephyr,12,std,20,26.354823892411044,0.06398554524265616,0.0
mis,12,unbalanced,12,mean,20,39.321600000000004,0.16729999999999998,0.0
mis,12,unbalanced,12,std,20,25.229498113121473,0.053272037693334016,0.0
mis,16,projected_chimera,16,mean,20,311.296,0.13255,0.005555555555555555
mis,16,projected_chimera,16,std,20,281.7857481931973,0.032416778063219055,0.02421610524189263
mis,16,projected_full,16,mean,20,553.7792000000002,0.11215,0.0
mis,16,projected_full,16,std,20,319.3661470189976,0.028747652078039348,0.0
mis,16,projected_pegasus,16,mean,20,347.3408,0.12685,0.0
mis,16,projected_pegasus,16,std,20,233.64296336966797,0.030489793374176878,0.0
mis,16,projected_up_support,16,mean,20,452.19840000000005,0.11445000000000001,0.0
mis,16,projected_up_support,16,std,20,190.9562053012156,0.030860127997142203,0.0
mis,16,projected_zephyr,16,mean,20,330.95680000000004,0.1159,0.0
mis,16,projected_zephyr,16,std,20,281.48074391147964,0.03173783231413261,0.0
mis,16,unbalanced,16,mean,20,337.51040000000006,0.12969999999999998,0.010555555555555556
mis,16,unbalanced,16,std,20,281.32811776827424,0.03352625836564528,0.031715362169315746
mis,20,projected_chimera,20,mean,20,786.432,0.09925,0.05218434343434344
mis,20,projected_chimera,20,std,20,930.5188911965196,0.03523191025192929,0.052797968384339596
mis,20,projected_full,20,mean,20,2726.2976000000003,0.07469999999999999,0.01944444444444444
mis,20,projected_full,20,std,20,2354.0472815963235,0.020964493793077858,0.0393817968854384
mis,20,projected_pegasus,20,mean,20,1468.0064000000002,0.0935,0.03593434343434344
mis,20,projected_pegasus,20,std,20,1569.364854397549,0.022046541678911912,0.04937918718579606
mis,20,projected_up_support,20,mean,20,2097.152,0.07845,0.038914141414141415
mis,20,projected_up_support,20,std,20,2123.204576549702,0.020872170466915987,0.04803279237088552
mis,20,projected_zephyr,20,mean,20,2044.7232000000004,0.09275000000000003,0.031313131313131314
mis,20,projected_zephyr,20,std,20,2002.6154554264683,0.02175976792155652,0.048115173187129504
mis,20,unbalanced,20,mean,20,1887.4368000000002,0.13635000000000003,0.033989898989898994
mis,20,unbalanced,20,std,20,1950.4641068486649,0.04421682372129414,0.0467645405497728
