hardware_family,hardware_size,family,size,instance_index,method,instance_source,problem_seed,instance_manifest,projection_regime,projection_topology_family,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_fea,sqa_gap,optimum_probability,cop,true_optimum_objective,best_feasible_objective,best_feasible_gap,objective_gap,num_feasible_reads,feasible_read_fraction,sqa_num_reads,sqa_num_sweeps,sqa_num_sweeps_per_beta,sqa_chain_strength_fraction,sqa_schedule_id,sqa_schedule_kind,sqa_schedule_anchor_size,sqa_beta_scale,sqa_total_schedule_time,sqa_anneal_schedule,mean_sqa_energy_gap,sqa_optimum_rate,physical_qubits,mean_chain_length,max_chain_length,mean_chain_break_fraction,broken_read_rate,effective_chain_strength,embedded_chain_to_problem_ratio,projected_sample_size,projected_num_quadratic_couplers,projection_method,projection_summary_method,projection_measure,projection_measure_lam,projection_penalty_template,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projected_equality_multiplier,projected_inequality_multiplier,normalization_regime,per_constraint_standardization,qubo_normalization_scale,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_lambda0,up_lambda1,up_lambda2
zephyr,16,mdkp,5,0,projected_up_support,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-65757.0,cplex_cache,min,1e-09,10,0.544,0.187,0.0,0.017,0.544,-65757.0,-65757.0,0.0,0.0,187,0.187,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.30617841950744107,0.017,6,1.2,2,0.0576,0.288,0.4648675170418055,1.859470068167222,16,10,projected_up_support,projected_up_support,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,41017.99970096046,,,,,,,,
zephyr,16,mdkp,5,0,projected_topology,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,zephyr,5,32,-65757.0,cplex_cache,min,1e-09,10,1.024,0.205,0.0,0.032,1.024,-65757.0,-65757.0,0.0,0.0,205,0.205,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3215117596679866,0.032,5,1.0,1,0.0,0.0,0.0,,16,7,projected_zephyr,projected_zephyr,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.06595109991465173,per_constraint_standardized_rows_v1,True,41017.99991000129,,,,,,,,
chimera,16,mdkp,5,1,unbalanced,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-42940.0,cplex_cache,min,1e-09,10,0.64,0.104,0.0,0.02,0.64,-42940.0,-42940.0,0.0,0.0,104,0.104,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.37186257210418827,0.02,8,1.6,2,0.284,0.859,0.050610999154228016,0.20244399661691206,,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,19016.089656271004,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,1,projected_full,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-42940.0,cplex_cache,min,1e-09,10,1.376,0.152,0.0,0.043,1.376,-42940.0,-42940.0,0.0,0.0,152,0.152,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.32823676856323386,0.043,8,1.6,2,0.1948,0.691,0.3554680300919311,2.507958749553656,16,10,projected_full,projected_full,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,21372.730578188417,,,,,,,,
chimera,16,mdkp,5,1,projected_up_support,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-42940.0,cplex_cache,min,1e-09,10,1.728,0.186,0.0,0.054,1.728,-42940.0,-42940.0,0.0,0.0,186,0.186,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3252610544345448,0.054,8,1.6,2,0.18920000000000003,0.69,0.35314641527647067,2.9459290358683337,16,10,projected_up_support,projected_up_support,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,21380.41276979316,,,,,,,,
chimera,16,mdkp,5,1,projected_topology,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-42940.0,cplex_cache,min,1e-09,10,1.216,0.227,0.0,0.038,1.216,-42940.0,-42940.0,0.0,0.0,227,0.227,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.36947836239071424,0.038,5,1.0,1,0.0,0.0,0.0,,16,4,projected_chimera,projected_chimera,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,22501.29752886092,,,,,,,,
pegasus,16,mdkp,5,1,unbalanced,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-42940.0,cplex_cache,min,1e-09,10,1.12,0.207,0.0,0.035,1.12,-42940.0,-42940.0,0.0,0.0,207,0.207,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.38963456480112685,0.035,6,1.2,2,0.09359999999999999,0.468,0.050610999154228016,0.20244399661691206,,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,19016.089656271004,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,1,projected_full,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-42940.0,cplex_cache,min,1e-09,10,0.928,0.196,0.0,0.029,0.928,-42940.0,-42940.0,0.0,0.0,196,0.196,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.38938468960010636,0.029,6,1.2,2,0.0668,0.334,0.3554680300919311,1.4218721203677245,16,10,projected_full,projected_full,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,21372.730578188417,,,,,,,,
pegasus,16,mdkp,5,1,projected_up_support,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-42940.0,cplex_cache,min,1e-09,10,1.504,0.217,0.0,0.047,1.504,-42940.0,-42940.0,0.0,0.0,217,0.217,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.36997729121547807,0.047,6,1.2,2,0.0626,0.313,0.35314641527647067,1.4125856611058827,16,10,projected_up_support,projected_up_support,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,21380.41276979316,,,,,,,,
pegasus,16,mdkp,5,1,projected_topology,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,pegasus,5,32,-42940.0,cplex_cache,min,1e-09,10,1.792,0.253,0.0,0.056,1.792,-42940.0,-42940.0,0.0,0.0,253,0.253,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.36701813910760667,0.056,5,1.0,1,0.0,0.0,0.0,,16,7,projected_pegasus,projected_pegasus,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.063160534953693,per_constraint_standardized_rows_v1,True,22617.000287950887,,,,,,,,
