family,anchor_size,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,normalization_regime,per_constraint_standardization,global_multiplier,lambda0,lambda1,lambda2,base_parameter_source,tuning_objective,objective_value,success,status,message,size,penalty_config_source,unbalanced_penalty_tuning_summary
mdkp,15,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,per_constraint_standardized_rows_v1,True,,,0.09976860713202618,3.0783967800270744e-05,per_constraint_standardized_split_blocks,gap,13832.742075190878,True,0,"loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv: nelder_mead restarts=27 successful_restarts=26 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=7662 best_restart=0 optimizer_message=Optimization terminated successfully.; base_parameter_source=per_constraint_standardized_split_blocks; up_lambda_gauge=sum_to_one; tuning_objective=gap; best_point=[0.09979939109982645, 0.04605751951059464, 1.4211215715362592e-05]",5,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv
mdkp,15,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,per_constraint_standardized_rows_v1,True,,,0.09976860713202618,3.0783967800270744e-05,per_constraint_standardized_split_blocks,gap,13832.742075190878,True,0,"loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv: nelder_mead restarts=27 successful_restarts=26 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=7662 best_restart=0 optimizer_message=Optimization terminated successfully.; base_parameter_source=per_constraint_standardized_split_blocks; up_lambda_gauge=sum_to_one; tuning_objective=gap; best_point=[0.09979939109982645, 0.04605751951059464, 1.4211215715362592e-05]",10,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv
mdkp,15,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,per_constraint_standardized_rows_v1,True,,,0.09976860713202618,3.0783967800270744e-05,per_constraint_standardized_split_blocks,gap,13832.742075190878,True,0,"loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv: nelder_mead restarts=27 successful_restarts=26 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=7662 best_restart=0 optimizer_message=Optimization terminated successfully.; base_parameter_source=per_constraint_standardized_split_blocks; up_lambda_gauge=sum_to_one; tuning_objective=gap; best_point=[0.09979939109982645, 0.04605751951059464, 1.4211215715362592e-05]",15,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv
mdkp,15,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,per_constraint_standardized_rows_v1,True,,,0.09976860713202618,3.0783967800270744e-05,per_constraint_standardized_split_blocks,gap,13832.742075190878,True,0,"loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv: nelder_mead restarts=27 successful_restarts=26 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=7662 best_restart=0 optimizer_message=Optimization terminated successfully.; base_parameter_source=per_constraint_standardized_split_blocks; up_lambda_gauge=sum_to_one; tuning_objective=gap; best_point=[0.09979939109982645, 0.04605751951059464, 1.4211215715362592e-05]",20,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv
mis,16,,0.19202893651249733,0.6249976775351576,0.3750023224648424,sum_to_one,per_constraint_standardized_rows_v1,True,,,0.12001763933985705,0.07201129717264027,per_constraint_standardized_split_blocks,gap,1.1920289365124972e-08,True,0,"loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv: nelder_mead restarts=27 successful_restarts=24 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=4866 best_restart=15 optimizer_message=Optimization terminated successfully.; base_parameter_source=per_constraint_standardized_split_blocks; up_lambda_gauge=sum_to_one; tuning_objective=gap; best_point=[0.19202893651249733, 30.071850069310216, 18.043288834735716]",8,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv
mis,16,,0.19202893651249733,0.6249976775351576,0.3750023224648424,sum_to_one,per_constraint_standardized_rows_v1,True,,,0.12001763933985705,0.07201129717264027,per_constraint_standardized_split_blocks,gap,1.1920289365124972e-08,True,0,"loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv: nelder_mead restarts=27 successful_restarts=24 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=4866 best_restart=15 optimizer_message=Optimization terminated successfully.; base_parameter_source=per_constraint_standardized_split_blocks; up_lambda_gauge=sum_to_one; tuning_objective=gap; best_point=[0.19202893651249733, 30.071850069310216, 18.043288834735716]",12,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv
mis,16,,0.19202893651249733,0.6249976775351576,0.3750023224648424,sum_to_one,per_constraint_standardized_rows_v1,True,,,0.12001763933985705,0.07201129717264027,per_constraint_standardized_split_blocks,gap,1.1920289365124972e-08,True,0,"loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv: nelder_mead restarts=27 successful_restarts=24 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=4866 best_restart=15 optimizer_message=Optimization terminated successfully.; base_parameter_source=per_constraint_standardized_split_blocks; up_lambda_gauge=sum_to_one; tuning_objective=gap; best_point=[0.19202893651249733, 30.071850069310216, 18.043288834735716]",16,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv
mis,16,,0.19202893651249733,0.6249976775351576,0.3750023224648424,sum_to_one,per_constraint_standardized_rows_v1,True,,,0.12001763933985705,0.07201129717264027,per_constraint_standardized_split_blocks,gap,1.1920289365124972e-08,True,0,"loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv: nelder_mead restarts=27 successful_restarts=24 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=4866 best_restart=15 optimizer_message=Optimization terminated successfully.; base_parameter_source=per_constraint_standardized_split_blocks; up_lambda_gauge=sum_to_one; tuning_objective=gap; best_point=[0.19202893651249733, 30.071850069310216, 18.043288834735716]",20,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv,/Users/llee/Projects/blp-qubo/experiments/tunings/unbalanced_penalty_tuning_summary.csv
