level,restart_index,eval_index,objective,search_method,param_0,tuning_objective,mean_gap,mean_best_optimum_percentile,mean_tied_fraction,param_sum,method,family,anchor_size,projection_method,projection_selection_mode,projection_selection_source,projection_candidate_rank,projection_measure,projection_penalty_template
0,0,25,38785.550013125256,nelder_mead,0.06320933917507683,gap,38785.550013104876,0.0197479248046875,0.0,0.06320933917507678,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,26,38785.550013125256,nelder_mead,0.0632093391750768,gap,38785.550013104876,0.0197479248046875,0.0,0.06320933917507678,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,27,38784.20873956866,nelder_mead,0.0631241164736321,gap,38784.20873954821,0.0198211669921875,0.0,0.0631241164736321,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,28,38784.74667252636,nelder_mead,0.06318091883141659,gap,38784.74667250596,0.0197723388671875,0.0,0.06318091883141659,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,29,38784.19383151874,nelder_mead,0.0631383122736816,gap,38784.193831498305,0.0198028564453125,0.0,0.0631383122736816,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,30,38784.34513768708,nelder_mead,0.06316671345185582,gap,38784.34513766666,0.01978302001953125,0.0,0.06316671345185582,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,31,38784.1863762366,nelder_mead,0.06314541137083113,gap,38784.18637621617,0.01979522705078125,0.0,0.06314541137083113,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,32,38784.17146315746,nelder_mead,0.0631596119598285,gap,38784.17146313704,0.01978607177734375,0.0,0.0631596119598285,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,33,38784.34513768708,nelder_mead,0.06316671345185587,gap,38784.34513766666,0.01978302001953125,0.0,0.06316671345185582,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,34,38784.34513768708,nelder_mead,0.06316671345185582,gap,38784.34513766666,0.01978302001953125,0.0,0.06316671345185582,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,35,38784.175191741626,nelder_mead,0.0631560615132138,gap,38784.17519172121,0.01978607177734375,0.0,0.0631560615132138,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,36,38784.24476808426,nelder_mead,0.06316316260603877,gap,38784.24476806384,0.01978607177734375,0.0,0.06316316260603877,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,37,38784.17332747574,nelder_mead,0.0631578367115724,gap,38784.173327455326,0.01978607177734375,0.0,0.0631578367115724,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,38,38784.19458539868,nelder_mead,0.0631613872579835,gap,38784.19458537827,0.01978607177734375,0.0,0.0631613872579835,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,39,38784.17239532315,nelder_mead,0.06315872432946315,gap,38784.17239530273,0.01978607177734375,0.0,0.06315872432946315,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,40,38784.17053097867,nelder_mead,0.06316049960266856,gap,38784.170530958254,0.01978607177734375,0.0,0.06316049960266856,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,41,38784.19458539868,nelder_mead,0.0631613872579835,gap,38784.19458537827,0.01978607177734375,0.0,0.0631613872579835,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,42,38784.19458539868,nelder_mead,0.06316138725798352,gap,38784.19458537827,0.01978607177734375,0.0,0.0631613872579835,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,43,38784.17099706969,nelder_mead,0.06316005577968917,gap,38784.170997049274,0.01978607177734375,0.0,0.06316005577968917,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,44,38784.182039947664,nelder_mead,0.06316094342876669,gap,38784.18203992725,0.01978607177734375,0.0,0.06316094342876669,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,45,38784.170764024595,nelder_mead,0.06316027769078902,gap,38784.17076400418,0.01978607177734375,0.0,0.06316027769078902,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,46,38784.17576725525,nelder_mead,0.06316072151532778,gap,38784.17576723483,0.01978607177734375,0.0,0.06316072151532778,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,47,38784.170647501734,nelder_mead,0.06316038864663134,gap,38784.17064748132,0.01978607177734375,0.0,0.06316038864663134,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,48,38784.17263091727,nelder_mead,0.0631606105589007,gap,38784.17263089686,0.01978607177734375,0.0,0.0631606105589007,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,49,38784.17058924023,nelder_mead,0.06316044412462558,gap,38784.170589219815,0.01978607177734375,0.0,0.06316044412462558,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,50,38784.17106275037,nelder_mead,0.06316055508076027,gap,38784.171062729954,0.01978607177734375,0.0,0.06316055508076027,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,51,38784.17056010945,nelder_mead,0.06316047186364099,gap,38784.170560089035,0.01978607177734375,0.0,0.06316047186364099,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,52,38784.17050184787,nelder_mead,0.06316052734170832,gap,38784.17050182745,0.01978607177734375,0.0,0.06316052734170832,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,53,38784.17106275037,nelder_mead,0.06316055508076021,gap,38784.171062729954,0.01978607177734375,0.0,0.06316055508076027,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
0,0,54,38784.17106275037,nelder_mead,0.06316055508076027,gap,38784.171062729954,0.01978607177734375,0.0,0.06316055508076027,projected_pegasus,mdkp,15,projected_pegasus,fixed,fixed_cli,1,q2,heaviside
