level,restart_index,eval_index,objective,search_method,param_0,tuning_objective,mean_gap,mean_best_optimum_percentile,mean_tied_fraction,param_sum,method,family,anchor_size,projection_method,projection_selection_mode,projection_selection_source,projection_candidate_rank,projection_measure,projection_penalty_template
0,0,0,6.553844593727839,nelder_mead,0.010000000000000005,gap,6.553844276690583,0.316937255859375,0.0,0.010000000000000005,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,1,6.029689211581237,nelder_mead,0.01584893192461114,gap,6.02968889474184,0.316680908203125,0.0,0.01584893192461114,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,2,5.1989588926361945,nelder_mead,0.025118864315095805,gap,5.198958598099423,0.29428558349609374,0.0,0.025118864315095805,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,3,3.9283868227585943,nelder_mead,0.03981071705534976,gap,3.9283866113634778,0.21099700927734374,0.0,0.03981071705534976,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,4,1.1078755990555433,nelder_mead,0.10000000000000016,gap,1.1078755884142775,0.009641265869140625,0.0,0.10000000000000016,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,5,0.07853805178670743,nelder_mead,0.25118864315095857,gap,0.07853804925498457,1.983642578125e-05,0.0,0.25118864315095857,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,6,4.156212077559435,nelder_mead,1.584893192461119,gap,4.156212053866723,0.007843780517578124,0.0,1.584893192461119,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,7,1.1078755990555433,nelder_mead,0.10000000000000016,gap,1.1078755884142775,0.009641265869140625,0.0,0.10000000000000016,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,8,1.0527249985875782,nelder_mead,0.630957344480195,gap,1.0527249915387162,0.000739288330078125,0.0,0.630957344480195,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,9,0.2951819138117193,nelder_mead,0.39810717055349826,gap,0.29518190960939517,0.00022125244140625,0.0,0.39810717055349826,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,10,0.3922678072343336,nelder_mead,0.15848931924611165,gap,0.39226780539080386,0.000258636474609375,0.0,0.15848931924611165,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,11,0.12476609036366154,nelder_mead,0.31622776601683866,gap,0.12476608717925863,2.2125244140625e-05,0.0,0.31622776601683866,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,12,0.12859913203004258,nelder_mead,0.19952623149688836,gap,0.12859912989973998,0.000135040283203125,0.0,0.19952623149688836,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,13,0.10032298889967367,nelder_mead,0.281838293126446,gap,0.1003229860591655,2.2125244140625e-05,0.0,0.281838293126446,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,14,0.05912220614734258,nelder_mead,0.22387211385683445,gap,0.05912220389107383,1.7547607421875e-05,0.0,0.22387211385683445,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
0,0,15,0.12859913203004258,nelder_mead,0.19952623149688842,gap,0.12859912989973998,0.000135040283203125,0.0,0.19952623149688836,projected_zephyr,mis,16,projected_zephyr,fixed,fixed_cli,1,q2,heaviside
